JobIDRaw|Account|User|State|Partition|ReqCPUS|ReqMem|Timelimit|Submit|Start|End|NodeList|ReqTRES|Reason
23|hpc|user.5|COMPLETED|cpu|36|361G|3-00:00:00|2022-08-02T21:56:49|2022-08-02T23:04:49|2022-08-03T10:10:49|node3|billing=10,cpu=36,mem=361G,node=1|None
24|hpc|user.41|COMPLETED|cpu|30|569G|3-00:00:00|2022-08-02T23:56:49|2022-08-03T03:47:49|2022-08-04T00:36:49|node4|billing=10,cpu=30,mem=569G,node=1|None
25|hpc|user.93|COMPLETED|cpu|15|87G|3-00:00:00|2022-08-02T22:21:49|2022-08-03T01:47:49|2022-08-03T08:09:49|node5|billing=10,cpu=15,mem=87G,node=1|None
26|hpc|user.96|COMPLETED|cpu|4|577G|3-00:00:00|2022-08-02T22:06:49|2022-08-03T00:24:49|2022-08-03T06:57:49|node6|billing=10,cpu=4,mem=577G,node=1|None
27|hpc|user.22|COMPLETED|cpu|10|205G|3-00:00:00|2022-08-03T00:25:49|2022-08-03T02:22:49|2022-08-04T00:32:49|node7|billing=10,cpu=10,mem=205G,node=1|None
28|hpc|user.89|COMPLETED|cpu|28|419G|3-00:00:00|2022-08-02T23:15:49|2022-08-03T00:20:49|2022-08-03T18:40:49|node8|billing=10,cpu=28,mem=419G,node=1|None
29|hpc|user.40|COMPLETED|cpu|21|59G|3-00:00:00|2022-08-02T22:11:49|2022-08-02T22:57:49|2022-08-03T04:40:49|node9|billing=10,cpu=21,mem=59G,node=1|ReqNodeNotAvail
30|hpc|user.5|COMPLETED|cpu|8|93G|3-00:00:00|2022-08-03T00:43:49|2022-08-03T02:39:49|2022-08-03T03:58:49|node10|billing=10,cpu=8,mem=93G,node=1|None
31|hpc|user.98|COMPLETED|gpu|35|148G|3-00:00:00|2022-08-02T23:34:49|2022-08-03T01:47:49|2022-08-03T23:09:49|gpunode1|billing=10,cpu=35,gres/gpu=1,mem=148G,node=1|None
32|hpc|user.70|COMPLETED|gpu|13|53G|3-00:00:00|2022-08-02T23:19:49|2022-08-03T02:09:49|2022-08-03T22:01:49|gpunode2|billing=10,cpu=13,gres/gpu=4,mem=53G,node=1|None
33|hpc|user.59|COMPLETED|gpu|6|61G|3-00:00:00|2022-08-02T22:23:49|2022-08-03T00:16:49|2022-08-03T20:27:49|gpunode3|billing=10,cpu=6,gres/gpu=1,mem=61G,node=1|None
34|hpc|user.91|COMPLETED|gpu|80|508G|3-00:00:00|2022-08-02T23:44:49|2022-08-03T01:51:49|2022-08-03T13:46:49|gpunode4|billing=10,cpu=80,gres/gpu=11,mem=508G,node=1|None
35|hpc|user.16|COMPLETED|gpu|54|251G|3-00:00:00|2022-08-02T23:49:49|2022-08-03T01:19:49|2022-08-03T18:40:49|gpunode5|billing=10,cpu=54,gres/gpu=2,mem=251G,node=1|QOSMaxJobsPerUserLimit
36|hpc|user.92|COMPLETED|gpu|3|54G|3-00:00:00|2022-08-03T00:43:49|2022-08-03T02:00:49|2022-08-03T04:24:49|gpunode6|billing=10,cpu=3,gres/gpu=2,mem=54G,node=1|None
37|hpc|user.47|COMPLETED|gpu|14|141G|3-00:00:00|2022-08-02T23:02:49|2022-08-03T00:19:49|2022-08-03T02:41:49|gpunode7|billing=10,cpu=14,gres/gpu=2,mem=141G,node=1|None
38|hpc|user.52|COMPLETED|gpu|95|656G|3-00:00:00|2022-08-02T22:23:49|2022-08-02T22:29:49|2022-08-03T06:21:49|gpunode8|billing=10,cpu=95,gres/gpu=16,mem=656G,node=1|ReqNodeNotAvail
39|hpc|user.47|COMPLETED|gpu|3|128G|3-00:00:00|2022-08-03T00:35:49|2022-08-03T01:51:49|2022-08-03T04:53:49|gpunode9|billing=10,cpu=3,gres/gpu=1,mem=128G,node=1|None
40|hpc|user.9|COMPLETED|gpu|9|744G|3-00:00:00|2022-08-03T00:03:49|2022-08-03T03:48:49|2022-08-03T15:46:49|gpunode10|billing=10,cpu=9,gres/gpu=14,mem=744G,node=1|Dependency
41|hpc|user.94|COMPLETED|cpu|21|79G|3-00:00:00|2022-08-03T21:50:49|2022-08-04T00:48:49|2022-08-04T04:55:49|node1|billing=10,cpu=21,mem=79G,node=1|Dependency
42|hpc|user.55|COMPLETED|cpu|17|275G|3-00:00:00|2022-08-03T22:25:49|2022-08-03T23:20:49|2022-08-04T06:32:49|node2|billing=10,cpu=17,mem=275G,node=1|None
43|hpc|user.68|COMPLETED|cpu|1|45G|3-00:00:00|2022-08-03T22:54:49|2022-08-04T00:14:49|2022-08-04T04:26:49|node3|billing=10,cpu=1,mem=45G,node=1|QOSMaxJobsPerUserLimit
44|hpc|user.12|COMPLETED|cpu|8|81G|3-00:00:00|2022-08-04T00:08:49|2022-08-04T03:05:49|2022-08-04T13:09:49|node4|billing=10,cpu=8,mem=81G,node=1|ReqNodeNotAvail
45|hpc|user.42|COMPLETED|cpu|16|48G|3-00:00:00|2022-08-03T23:42:49|2022-08-04T03:11:49|2022-08-04T07:02:49|node5|billing=10,cpu=16,mem=48G,node=1|None
46|hpc|user.78|COMPLETED|cpu|25|385G|3-00:00:00|2022-08-03T21:44:49|2022-08-03T23:34:49|2022-08-04T19:40:49|node6|billing=10,cpu=25,mem=385G,node=1|None
47|hpc|user.95|COMPLETED|cpu|27|247G|3-00:00:00|2022-08-03T22:12:49|2022-08-03T22:45:49|2022-08-04T10:14:49|node7|billing=10,cpu=27,mem=247G,node=1|None
48|hpc|user.92|COMPLETED|cpu|29|142G|3-00:00:00|2022-08-04T00:34:49|2022-08-04T02:21:49|2022-08-04T02:25:49|node8|billing=10,cpu=29,mem=142G,node=1|None
49|hpc|user.13|COMPLETED|cpu|4|17G|3-00:00:00|2022-08-03T21:38:49|2022-08-03T22:14:49|2022-08-04T16:12:49|node9|billing=10,cpu=4,mem=17G,node=1|None
50|hpc|user.48|COMPLETED|cpu|77|653G|3-00:00:00|2022-08-04T00:49:49|2022-08-04T04:23:49|2022-08-04T22:05:49|node10|billing=10,cpu=77,mem=653G,node=1|None
51|hpc|user.73|COMPLETED|gpu|13|21G|3-00:00:00|2022-08-03T22:07:49|2022-08-03T22:39:49|2022-08-04T07:02:49|gpunode1|billing=10,cpu=13,gres/gpu=2,mem=21G,node=1|QOSMaxJobsPerUserLimit
52|hpc|user.95|COMPLETED|gpu|3|13G|3-00:00:00|2022-08-03T21:41:49|2022-08-04T01:22:49|2022-08-04T19:41:49|gpunode2|billing=10,cpu=3,gres/gpu=1,mem=13G,node=1|Dependency
53|hpc|user.20|COMPLETED|gpu|11|221G|3-00:00:00|2022-08-03T22:39:49|2022-08-04T01:26:49|2022-08-04T21:10:49|gpunode3|billing=10,cpu=11,gres/gpu=1,mem=221G,node=1|None
54|hpc|user.2|COMPLETED|gpu|59|263G|3-00:00:00|2022-08-03T21:12:49|2022-08-03T21:48:49|2022-08-03T22:54:49|gpunode4|billing=10,cpu=59,gres/gpu=16,mem=263G,node=1|ReqNodeNotAvail
55|hpc|user.95|COMPLETED|gpu|52|256G|3-00:00:00|2022-08-03T23:38:49|2022-08-04T00:43:49|2022-08-04T14:52:49|gpunode5|billing=10,cpu=52,gres/gpu=2,mem=256G,node=1|None
56|hpc|user.76|COMPLETED|gpu|13|39G|3-00:00:00|2022-08-03T22:34:49|2022-08-03T23:14:49|2022-08-04T03:00:49|gpunode6|billing=10,cpu=13,gres/gpu=2,mem=39G,node=1|None
57|hpc|user.85|COMPLETED|gpu|19|41G|3-00:00:00|2022-08-03T21:04:49|2022-08-03T22:37:49|2022-08-03T23:14:49|gpunode7|billing=10,cpu=19,gres/gpu=2,mem=41G,node=1|None
58|hpc|user.40|COMPLETED|gpu|94|1357G|3-00:00:00|2022-08-03T23:46:49|2022-08-04T03:23:49|2022-08-04T16:05:49|gpunode8|billing=10,cpu=94,gres/gpu=11,mem=1357G,node=1|None
59|hpc|user.21|COMPLETED|gpu|9|222G|3-00:00:00|2022-08-04T00:51:49|2022-08-04T02:47:49|2022-08-04T03:18:49|gpunode9|billing=10,cpu=9,gres/gpu=2,mem=222G,node=1|QOSMaxJobsPerUserLimit
60|hpc|user.35|COMPLETED|gpu|108|1195G|3-00:00:00|2022-08-03T23:38:49|2022-08-03T23:40:49|2022-08-04T23:37:49|gpunode10|billing=10,cpu=108,gres/gpu=15,mem=1195G,node=1|None
61|hpc|user.99|COMPLETED|cpu|17|22G|3-00:00:00|2022-08-04T23:46:49|2022-08-05T03:40:49|2022-08-05T19:31:49|node1|billing=10,cpu=17,mem=22G,node=1|None
62|hpc|user.78|COMPLETED|cpu|28|683G|3-00:00:00|2022-08-04T22:39:49|2022-08-04T22:42:49|2022-08-05T10:24:49|node2|billing=10,cpu=28,mem=683G,node=1|None
63|hpc|user.24|COMPLETED|cpu|32|206G|3-00:00:00|2022-08-04T21:06:49|2022-08-04T22:11:49|2022-08-04T22:19:49|node3|billing=10,cpu=32,mem=206G,node=1|ReqNodeNotAvail
64|hpc|user.61|COMPLETED|cpu|10|473G|3-00:00:00|2022-08-04T22:45:49|2022-08-04T23:56:49|2022-08-05T06:46:49|node4|billing=10,cpu=10,mem=473G,node=1|None
65|hpc|user.50|COMPLETED|cpu|17|13G|3-00:00:00|2022-08-04T23:05:49|2022-08-04T23:24:49|2022-08-05T13:17:49|node5|billing=10,cpu=17,mem=13G,node=1|None
66|hpc|user.13|COMPLETED|cpu|55|391G|3-00:00:00|2022-08-05T00:09:49|2022-08-05T01:28:49|2022-08-05T08:56:49|node6|billing=10,cpu=55,mem=391G,node=1|None
67|hpc|user.69|COMPLETED|cpu|25|302G|3-00:00:00|2022-08-04T21:41:49|2022-08-05T00:47:49|2022-08-05T04:33:49|node7|billing=10,cpu=25,mem=302G,node=1|None
68|hpc|user.67|COMPLETED|cpu|12|349G|3-00:00:00|2022-08-04T21:37:49|2022-08-04T23:44:49|2022-08-05T22:01:49|node8|billing=10,cpu=12,mem=349G,node=1|None
69|hpc|user.75|COMPLETED|cpu|4|12G|3-00:00:00|2022-08-04T21:16:49|2022-08-05T00:35:49|2022-08-05T17:59:49|node9|billing=10,cpu=4,mem=12G,node=1|None
70|hpc|user.21|COMPLETED|cpu|29|367G|3-00:00:00|2022-08-04T21:43:49|2022-08-05T01:07:49|2022-08-05T06:30:49|node10|billing=10,cpu=29,mem=367G,node=1|None
71|hpc|user.55|COMPLETED|gpu|40|212G|3-00:00:00|2022-08-04T23:47:49|2022-08-05T03:46:49|2022-08-05T18:29:49|gpunode1|billing=10,cpu=40,gres/gpu=2,mem=212G,node=1|None
72|hpc|user.37|COMPLETED|gpu|22|8G|3-00:00:00|2022-08-04T21:17:49|2022-08-04T23:36:49|2022-08-04T23:48:49|gpunode2|billing=10,cpu=22,gres/gpu=3,mem=8G,node=1|None
73|hpc|user.40|COMPLETED|gpu|12|10G|3-00:00:00|2022-08-04T22:32:49|2022-08-05T00:39:49|2022-08-05T04:04:49|gpunode3|billing=10,cpu=12,gres/gpu=2,mem=10G,node=1|None
74|hpc|user.46|COMPLETED|gpu|88|811G|3-00:00:00|2022-08-05T00:16:49|2022-08-05T03:30:49|2022-08-05T14:30:49|gpunode4|billing=10,cpu=88,gres/gpu=11,mem=811G,node=1|None
75|hpc|user.100|COMPLETED|gpu|55|78G|3-00:00:00|2022-08-04T22:22:49|2022-08-05T01:25:49|2022-08-05T12:32:49|gpunode5|billing=10,cpu=55,gres/gpu=1,mem=78G,node=1|None
76|hpc|user.2|COMPLETED|gpu|24|0G|3-00:00:00|2022-08-04T23:19:49|2022-08-05T01:13:49|2022-08-06T00:05:49|gpunode6|billing=10,cpu=24,gres/gpu=1,mem=0G,node=1|None
77|hpc|user.73|COMPLETED|gpu|13|249G|3-00:00:00|2022-08-04T21:05:49|2022-08-05T00:25:49|2022-08-05T05:44:49|gpunode7|billing=10,cpu=13,gres/gpu=2,mem=249G,node=1|ReqNodeNotAvail
78|hpc|user.79|COMPLETED|gpu|25|1108G|3-00:00:00|2022-08-04T22:31:49|2022-08-04T23:28:49|2022-08-05T17:12:49|gpunode8|billing=10,cpu=25,gres/gpu=12,mem=1108G,node=1|None
79|hpc|user.54|COMPLETED|gpu|4|42G|3-00:00:00|2022-08-04T23:42:49|2022-08-05T00:52:49|2022-08-05T02:18:49|gpunode9|billing=10,cpu=4,gres/gpu=2,mem=42G,node=1|None
80|hpc|user.13|COMPLETED|gpu|72|707G|3-00:00:00|2022-08-04T21:40:49|2022-08-04T22:56:49|2022-08-05T17:14:49|gpunode10|billing=10,cpu=72,gres/gpu=11,mem=707G,node=1|None
81|hpc|user.54|COMPLETED|cpu|23|44G|3-00:00:00|2022-08-05T21:19:49|2022-08-06T01:10:49|2022-08-06T06:28:49|node1|billing=10,cpu=23,mem=44G,node=1|None
82|hpc|user.96|COMPLETED|cpu|71|348G|3-00:00:00|2022-08-05T21:05:49|2022-08-05T21:06:49|2022-08-06T07:13:49|node2|billing=10,cpu=71,mem=348G,node=1|None
83|hpc|user.63|COMPLETED|cpu|17|46G|3-00:00:00|2022-08-05T21:51:49|2022-08-06T00:39:49|2022-08-06T05:48:49|node3|billing=10,cpu=17,mem=46G,node=1|None
84|hpc|user.4|COMPLETED|cpu|12|507G|3-00:00:00|2022-08-05T23:33:49|2022-08-06T01:20:49|2022-08-06T20:29:49|node4|billing=10,cpu=12,mem=507G,node=1|None
85|hpc|user.68|COMPLETED|cpu|10|14G|3-00:00:00|2022-08-06T00:00:49|2022-08-06T01:31:49|2022-08-06T02:48:49|node5|billing=10,cpu=10,mem=14G,node=1|None
86|hpc|user.17|COMPLETED|cpu|26|301G|3-00:00:00|2022-08-05T23:32:49|2022-08-06T02:48:49|2022-08-07T01:55:49|node6|billing=10,cpu=26,mem=301G,node=1|None
87|hpc|user.92|COMPLETED|cpu|2|56G|3-00:00:00|2022-08-05T22:35:49|2022-08-05T23:43:49|2022-08-06T03:35:49|node7|billing=10,cpu=2,mem=56G,node=1|None
88|hpc|user.60|COMPLETED|cpu|6|279G|3-00:00:00|2022-08-05T23:04:49|2022-08-06T00:12:49|2022-08-06T16:16:49|node8|billing=10,cpu=6,mem=279G,node=1|None
89|hpc|user.27|COMPLETED|cpu|15|31G|3-00:00:00|2022-08-05T21:28:49|2022-08-06T00:38:49|2022-08-06T03:59:49|node9|billing=10,cpu=15,mem=31G,node=1|ReqNodeNotAvail
90|hpc|user.100|COMPLETED|cpu|26|78G|3-00:00:00|2022-08-05T21:44:49|2022-08-05T23:16:49|2022-08-06T12:32:49|node10|billing=10,cpu=26,mem=78G,node=1|None
91|hpc|user.56|COMPLETED|gpu|12|102G|3-00:00:00|2022-08-05T20:58:49|2022-08-05T23:36:49|2022-08-06T13:30:49|gpunode1|billing=10,cpu=12,gres/gpu=2,mem=102G,node=1|None
92|hpc|user.75|COMPLETED|gpu|22|15G|3-00:00:00|2022-08-06T00:13:49|2022-08-06T03:39:49|2022-08-06T20:04:49|gpunode2|billing=10,cpu=22,gres/gpu=3,mem=15G,node=1|None
93|hpc|user.4|COMPLETED|gpu|19|40G|3-00:00:00|2022-08-06T00:30:49|2022-08-06T02:06:49|2022-08-06T08:59:49|gpunode3|billing=10,cpu=19,gres/gpu=2,mem=40G,node=1|None
94|hpc|user.50|COMPLETED|gpu|32|58G|3-00:00:00|2022-08-05T22:31:49|2022-08-06T01:53:49|2022-08-06T05:48:49|gpunode4|billing=10,cpu=32,gres/gpu=15,mem=58G,node=1|None
95|hpc|user.66|COMPLETED|gpu|9|242G|3-00:00:00|2022-08-05T22:58:49|2022-08-06T02:45:49|2022-08-06T15:52:49|gpunode5|billing=10,cpu=9,gres/gpu=2,mem=242G,node=1|None
96|hpc|user.30|COMPLETED|gpu|20|22G|3-00:00:00|2022-08-05T22:44:49|2022-08-05T23:30:49|2022-08-06T18:51:49|gpunode6|billing=10,cpu=20,gres/gpu=3,mem=22G,node=1|ReqNodeNotAvail
97|hpc|user.23|COMPLETED|gpu|12|65G|3-00:00:00|2022-08-05T22:22:49|2022-08-05T23:57:49|2022-08-06T19:45:49|gpunode7|billing=10,cpu=12,gres/gpu=1,mem=65G,node=1|Dependency
98|hpc|user.15|COMPLETED|gpu|37|281G|3-00:00:00|2022-08-05T23:07:49|2022-08-06T01:37:49|2022-08-06T20:48:49|gpunode8|billing=10,cpu=37,gres/gpu=15,mem=281G,node=1|None
99|hpc|user.63|COMPLETED|gpu|11|248G|3-00:00:00|2022-08-05T22:30:49|2022-08-05T22:58:49|2022-08-06T18:27:49|gpunode9|billing=10,cpu=11,gres/gpu=1,mem=248G,node=1|None
100|hpc|user.90|COMPLETED|gpu|25|121G|3-00:00:00|2022-08-05T22:46:49|2022-08-06T01:46:49|2022-08-06T12:44:49|gpunode10|billing=10,cpu=25,gres/gpu=12,mem=121G,node=1|None
101|hpc|user.53|COMPLETED|cpu|11|16G|3-00:00:00|2022-08-07T00:18:49|2022-08-07T02:58:49|2022-08-07T10:17:49|node1|billing=10,cpu=11,mem=16G,node=1|QOSMaxJobsPerUserLimit
102|hpc|user.18|COMPLETED|cpu|30|186G|3-00:00:00|2022-08-07T00:37:49|2022-08-07T01:51:49|2022-08-07T02:50:49|node2|billing=10,cpu=30,mem=186G,node=1|None
103|hpc|user.79|COMPLETED|cpu|43|0G|3-00:00:00|2022-08-06T23:48:49|2022-08-07T00:04:49|2022-08-07T09:45:49|node3|billing=10,cpu=43,mem=0G,node=1|Dependency
104|hpc|user.51|COMPLETED|cpu|16|399G|3-00:00:00|2022-08-06T21:03:49|2022-08-06T23:41:49|2022-08-07T22:48:49|node4|billing=10,cpu=16,mem=399G,node=1|None
105|hpc|user.33|COMPLETED|cpu|6|5G|3-00:00:00|2022-08-07T00:10:49|2022-08-07T00:51:49|2022-08-07T17:55:49|node5|billing=10,cpu=6,mem=5G,node=1|Dependency
106|hpc|user.54|COMPLETED|cpu|42|298G|3-00:00:00|2022-08-06T21:45:49|2022-08-07T00:40:49|2022-08-07T17:48:49|node6|billing=10,cpu=42,mem=298G,node=1|Dependency
107|hpc|user.12|COMPLETED|cpu|12|2G|3-00:00:00|2022-08-07T00:39:49|2022-08-07T00:53:49|2022-08-07T13:27:49|node7|billing=10,cpu=12,mem=2G,node=1|None
108|hpc|user.68|COMPLETED|cpu|23|400G|3-00:00:00|2022-08-07T00:35:49|2022-08-07T02:11:49|2022-08-07T06:11:49|node8|billing=10,cpu=23,mem=400G,node=1|None
109|hpc|user.94|COMPLETED|cpu|17|91G|3-00:00:00|2022-08-06T21:12:49|2022-08-06T22:19:49|2022-08-07T01:12:49|node9|billing=10,cpu=17,mem=91G,node=1|None
110|hpc|user.47|COMPLETED|cpu|16|572G|3-00:00:00|2022-08-06T22:15:49|2022-08-06T23:44:49|2022-08-07T16:19:49|node10|billing=10,cpu=16,mem=572G,node=1|None
111|hpc|user.83|COMPLETED|gpu|18|103G|3-00:00:00|2022-08-07T00:19:49|2022-08-07T02:38:49|2022-08-07T05:52:49|gpunode1|billing=10,cpu=18,gres/gpu=1,mem=103G,node=1|None
112|hpc|user.69|COMPLETED|gpu|12|13G|3-00:00:00|2022-08-07T00:19:49|2022-08-07T01:54:49|2022-08-07T18:44:49|gpunode2|billing=10,cpu=12,gres/gpu=1,mem=13G,node=1|None
113|hpc|user.70|COMPLETED|gpu|1|200G|3-00:00:00|2022-08-06T21:05:49|2022-08-06T21:30:49|2022-08-07T14:02:49|gpunode3|billing=10,cpu=1,gres/gpu=1,mem=200G,node=1|None
114|hpc|user.50|COMPLETED|gpu|45|1352G|3-00:00:00|2022-08-06T22:51:49|2022-08-07T02:44:49|2022-08-07T22:21:49|gpunode4|billing=10,cpu=45,gres/gpu=13,mem=1352G,node=1|None
115|hpc|user.81|COMPLETED|gpu|4|80G|3-00:00:00|2022-08-06T21:13:49|2022-08-07T00:29:49|2022-08-07T12:29:49|gpunode5|billing=10,cpu=4,gres/gpu=2,mem=80G,node=1|Dependency
116|hpc|user.75|COMPLETED|gpu|20|60G|3-00:00:00|2022-08-06T22:19:49|2022-08-06T22:45:49|2022-08-07T12:50:49|gpunode6|billing=10,cpu=20,gres/gpu=1,mem=60G,node=1|None
117|hpc|user.21|COMPLETED|gpu|2|18G|3-00:00:00|2022-08-07T00:29:49|2022-08-07T04:21:49|2022-08-07T04:40:49|gpunode7|billing=10,cpu=2,gres/gpu=1,mem=18G,node=1|None
118|hpc|user.89|COMPLETED|gpu|75|937G|3-00:00:00|2022-08-06T23:58:49|2022-08-07T01:38:49|2022-08-07T04:03:49|gpunode8|billing=10,cpu=75,gres/gpu=15,mem=937G,node=1|None
119|hpc|user.31|COMPLETED|gpu|7|76G|3-00:00:00|2022-08-07T00:42:49|2022-08-07T03:34:49|2022-08-07T09:19:49|gpunode9|billing=10,cpu=7,gres/gpu=2,mem=76G,node=1|None
120|hpc|user.1|COMPLETED|gpu|65|86G|3-00:00:00|2022-08-06T22:15:49|2022-08-06T22:22:49|2022-08-07T08:18:49|gpunode10|billing=10,cpu=65,gres/gpu=16,mem=86G,node=1|None
121|hpc|user.60|COMPLETED|cpu|18|34G|3-00:00:00|2022-08-07T23:59:49|2022-08-08T00:13:49|2022-08-08T16:36:49|node1|billing=10,cpu=18,mem=34G,node=1|None
122|hpc|user.69|COMPLETED|cpu|56|78G|3-00:00:00|2022-08-08T00:03:49|2022-08-08T02:38:49|2022-08-08T07:04:49|node2|billing=10,cpu=56,mem=78G,node=1|QOSMaxJobsPerUserLimit
123|hpc|user.30|COMPLETED|cpu|19|145G|3-00:00:00|2022-08-07T22:59:49|2022-08-08T00:59:49|2022-08-08T04:38:49|node3|billing=10,cpu=19,mem=145G,node=1|None
124|hpc|user.32|COMPLETED|cpu|1|141G|3-00:00:00|2022-08-07T23:15:49|2022-08-08T02:24:49|2022-08-08T17:47:49|node4|billing=10,cpu=1,mem=141G,node=1|None
125|hpc|user.97|COMPLETED|cpu|20|75G|3-00:00:00|2022-08-07T23:25:49|2022-08-08T02:46:49|2022-08-08T23:19:49|node5|billing=10,cpu=20,mem=75G,node=1|None
126|hpc|user.65|COMPLETED|cpu|1|174G|3-00:00:00|2022-08-08T00:22:49|2022-08-08T03:24:49|2022-08-08T19:22:49|node6|billing=10,cpu=1,mem=174G,node=1|None
127|hpc|user.13|COMPLETED|cpu|16|140G|3-00:00:00|2022-08-07T22:49:49|2022-08-08T00:13:49|2022-08-08T10:59:49|node7|billing=10,cpu=16,mem=140G,node=1|Dependency
128|hpc|user.86|COMPLETED|cpu|11|308G|3-00:00:00|2022-08-07T21:12:49|2022-08-07T21:48:49|2022-08-08T01:45:49|node8|billing=10,cpu=11,mem=308G,node=1|None
129|hpc|user.23|COMPLETED|cpu|24|81G|3-00:00:00|2022-08-08T00:05:49|2022-08-08T03:19:49|2022-08-09T00:01:49|node9|billing=10,cpu=24,mem=81G,node=1|QOSMaxJobsPerUserLimit
130|hpc|user.52|COMPLETED|cpu|49|302G|3-00:00:00|2022-08-07T22:39:49|2022-08-07T23:18:49|2022-08-08T17:39:49|node10|billing=10,cpu=49,mem=302G,node=1|ReqNodeNotAvail
